User,Activity,timestamp,,x,y,z,timeIntervalSince1970
Caroline,B,2020-05-05 20:36:16.317 +0000,,-0.233597,0.991653,0.330017,1588710976
Caroline,B,2020-05-05 20:36:16.327 +0000,,-0.268738,1.015671,0.33136,1588710976
Caroline,B,2020-05-05 20:36:16.337 +0000,,-0.292984,1.027466,0.327911,1588710976
Caroline,B,2020-05-05 20:36:16.347 +0000,,-0.308273,1.02626,0.323746,1588710976
Caroline,B,2020-05-05 20:36:16.357 +0000,,-0.315689,1.019974,0.325821,1588710976
Caroline,B,2020-05-05 20:36:16.367 +0000,,-0.31514,1.017609,0.330902,1588710976
Caroline,B,2020-05-05 20:36:16.377 +0000,,-0.312927,1.019211,0.34317,1588710976
Caroline,B,2020-05-05 20:36:16.387 +0000,,-0.322006,1.018951,0.355988,1588710976
Caroline,B,2020-05-05 20:36:16.397 +0000,,-0.333527,1.009338,0.346924,1588710976
Caroline,B,2020-05-05 20:36:16.407 +0000,,-0.343292,0.996582,0.332565,1588710976
Caroline,B,2020-05-05 20:36:16.417 +0000,,-0.362747,0.982758,0.331985,1588710976
Caroline,B,2020-05-05 20:36:16.427 +0000,,-0.387909,0.965546,0.331879,1588710976
Caroline,B,2020-05-05 20:36:16.437 +0000,,-0.414185,0.949478,0.337296,1588710976
Caroline,B,2020-05-05 20:36:16.446 +0000,,-0.43869,0.938461,0.347794,1588710976
Caroline,B,2020-05-05 20:36:16.456 +0000,,-0.462158,0.929779,0.349747,1588710976
Caroline,B,2020-05-05 20:36:16.466 +0000,,-0.480606,0.929031,0.343201,1588710976
Caroline,B,2020-05-05 20:36:16.476 +0000,,-0.492447,0.934616,0.331848,1588710976
Caroline,B,2020-05-05 20:36:16.486 +0000,,-0.499756,0.938873,0.327988,1588710976
Caroline,B,2020-05-05 20:36:16.496 +0000,,-0.507599,0.922089,0.333954,1588710976
Caroline,B,2020-05-05 20:36:16.506 +0000,,-0.51152,0.882568,0.328384,1588710977
Caroline,B,2020-05-05 20:36:16.516 +0000,,-0.510208,0.840805,0.323639,1588710977
Caroline,B,2020-05-05 20:36:16.526 +0000,,-0.51152,0.804245,0.327774,1588710977
Caroline,B,2020-05-05 20:36:16.536 +0000,,-0.521011,0.781845,0.324158,1588710977
Caroline,B,2020-05-05 20:36:16.546 +0000,,-0.542419,0.782471,0.324615,1588710977
Caroline,B,2020-05-05 20:36:16.556 +0000,,-0.5802,0.798813,0.345825,1588710977
Caroline,B,2020-05-05 20:36:16.566 +0000,,-0.628159,0.819077,0.370285,1588710977
Caroline,B,2020-05-05 20:36:16.576 +0000,,-0.682358,0.834564,0.399704,1588710977
Caroline,B,2020-05-05 20:36:16.586 +0000,,-0.745224,0.843155,0.435349,1588710977
Caroline,B,2020-05-05 20:36:16.596 +0000,,-0.809006,0.84613,0.459564,1588710977
Caroline,B,2020-05-05 20:36:16.606 +0000,,-0.871506,0.858368,0.463684,1588710977
Caroline,B,2020-05-05 20:36:16.616 +0000,,-0.923401,0.890579,0.451813,1588710977
Caroline,B,2020-05-05 20:36:16.626 +0000,,-0.952469,0.935059,0.4375,1588710977
Caroline,B,2020-05-05 20:36:16.636 +0000,,-0.956116,0.977875,0.432983,1588710977
Caroline,B,2020-05-05 20:36:16.645 +0000,,-0.941818,1.000656,0.440292,1588710977
Caroline,B,2020-05-05 20:36:16.655 +0000,,-0.904449,1.003159,0.431641,1588710977
Caroline,B,2020-05-05 20:36:16.665 +0000,,-0.855774,1.010071,0.423309,1588710977
Caroline,B,2020-05-05 20:36:16.675 +0000,,-0.813141,1.034073,0.420151,1588710977
Caroline,B,2020-05-05 20:36:16.685 +0000,,-0.77388,1.074997,0.39859,1588710977
Caroline,B,2020-05-05 20:36:16.695 +0000,,-0.742401,1.120041,0.376801,1588710977
Caroline,B,2020-05-05 20:36:16.705 +0000,,-0.717438,1.159607,0.35025,1588710977
Caroline,B,2020-05-05 20:36:16.715 +0000,,-0.71019,1.218872,0.322906,1588710977
Caroline,B,2020-05-05 20:36:16.725 +0000,,-0.72113,1.314407,0.308212,1588710977
Caroline,B,2020-05-05 20:36:16.735 +0000,,-0.752243,1.433884,0.288773,1588710977
Caroline,B,2020-05-05 20:36:16.745 +0000,,-0.790024,1.516464,0.259735,1588710977
Caroline,B,2020-05-05 20:36:16.755 +0000,,-0.796021,1.502716,0.228058,1588710977
Caroline,B,2020-05-05 20:36:16.765 +0000,,-0.756638,1.410126,0.200836,1588710977
Caroline,B,2020-05-05 20:36:16.775 +0000,,-0.68988,1.293533,0.185516,1588710977
Caroline,B,2020-05-05 20:36:16.785 +0000,,-0.622177,1.188034,0.187607,1588710977
Caroline,B,2020-05-05 20:36:16.795 +0000,,-0.562958,1.09761,0.227325,1588710977
Caroline,B,2020-05-05 20:36:16.805 +0000,,-0.490158,1.029617,0.27562,1588710977
Caroline,B,2020-05-05 20:36:16.815 +0000,,-0.410889,1.003784,0.303909,1588710977
Caroline,B,2020-05-05 20:36:16.825 +0000,,-0.35817,1.0354,0.283813,1588710977
Caroline,B,2020-05-05 20:36:16.835 +0000,,-0.335083,1.100662,0.201019,1588710977
Caroline,B,2020-05-05 20:36:16.845 +0000,,-0.333527,1.160812,0.098206,1588710977
Caroline,B,2020-05-05 20:36:16.854 +0000,,-0.344681,1.193527,0.021179,1588710977
Caroline,B,2020-05-05 20:36:16.864 +0000,,-0.35257,1.196808,-0.03801,1588710977
Caroline,B,2020-05-05 20:36:16.874 +0000,,-0.359741,1.187103,-0.07486,1588710977
Caroline,B,2020-05-05 20:36:16.884 +0000,,-0.364105,1.181839,-0.086731,1588710977
Caroline,B,2020-05-05 20:36:16.894 +0000,,-0.366714,1.175812,-0.082657,1588710977
Caroline,B,2020-05-05 20:36:16.904 +0000,,-0.368561,1.160492,-0.067642,1588710977
Caroline,B,2020-05-05 20:36:16.914 +0000,,-0.365387,1.125702,-0.038727,1588710977
Caroline,B,2020-05-05 20:36:16.924 +0000,,-0.347504,1.084549,-0.003311,1588710977
Caroline,B,2020-05-05 20:36:16.934 +0000,,-0.333939,1.0616,0.024429,1588710977
Caroline,B,2020-05-05 20:36:16.944 +0000,,-0.323425,1.045776,0.042419,1588710977
Caroline,B,2020-05-05 20:36:16.954 +0000,,-0.310028,1.039734,0.047653,1588710977
Caroline,B,2020-05-05 20:36:16.964 +0000,,-0.304718,1.043472,0.02211,1588710977
Caroline,B,2020-05-05 20:36:16.974 +0000,,-0.306671,1.047562,-0.008499,1588710977
Caroline,B,2020-05-05 20:36:16.984 +0000,,-0.312134,1.043671,-0.020645,1588710977
Caroline,B,2020-05-05 20:36:16.994 +0000,,-0.308487,1.032501,-0.029465,1588710977
Caroline,B,2020-05-05 20:36:17.004 +0000,,-0.30336,1.018234,-0.050354,1588710977
Caroline,B,2020-05-05 20:36:17.014 +0000,,-0.302643,0.993744,-0.052017,1588710977
Caroline,B,2020-05-05 20:36:17.024 +0000,,-0.299698,0.958694,-0.051651,1588710977
Caroline,B,2020-05-05 20:36:17.034 +0000,,-0.297745,0.917435,-0.057007,1588710977
Caroline,B,2020-05-05 20:36:17.044 +0000,,-0.299683,0.880325,-0.049988,1588710977
Caroline,B,2020-05-05 20:36:17.054 +0000,,-0.30191,0.850937,-0.036331,1588710977
Caroline,B,2020-05-05 20:36:17.063 +0000,,-0.307114,0.82695,-0.030075,1588710977
Caroline,B,2020-05-05 20:36:17.073 +0000,,-0.314529,0.804733,-0.029846,1588710977
Caroline,B,2020-05-05 20:36:17.083 +0000,,-0.319382,0.78215,-0.025421,1588710977
Caroline,B,2020-05-05 20:36:17.093 +0000,,-0.324951,0.753265,-0.019882,1588710977
Caroline,B,2020-05-05 20:36:17.103 +0000,,-0.328201,0.724991,-0.026001,1588710977
Caroline,B,2020-05-05 20:36:17.113 +0000,,-0.338638,0.700485,-0.028046,1588710977
Caroline,B,2020-05-05 20:36:17.123 +0000,,-0.354523,0.681396,-0.026123,1588710977
Caroline,B,2020-05-05 20:36:17.133 +0000,,-0.376587,0.667725,-0.018295,1588710977
Caroline,B,2020-05-05 20:36:17.143 +0000,,-0.405258,0.65062,-0.006531,1588710977
Caroline,B,2020-05-05 20:36:17.153 +0000,,-0.435425,0.627274,0.003967,1588710977
Caroline,B,2020-05-05 20:36:17.163 +0000,,-0.450653,0.593811,0.00737,1588710977
Caroline,B,2020-05-05 20:36:17.173 +0000,,-0.447632,0.54776,-0.011765,1588710977
Caroline,B,2020-05-05 20:36:17.183 +0000,,-0.453415,0.499939,-0.028839,1588710977
Caroline,B,2020-05-05 20:36:17.193 +0000,,-0.468918,0.46524,-0.037415,1588710977
Caroline,B,2020-05-05 20:36:17.203 +0000,,-0.495636,0.4487,-0.033722,1588710977
Caroline,B,2020-05-05 20:36:17.213 +0000,,-0.537216,0.449051,-0.025848,1588710977
Caroline,B,2020-05-05 20:36:17.223 +0000,,-0.587799,0.457352,-0.027008,1588710977
Caroline,B,2020-05-05 20:36:17.233 +0000,,-0.638138,0.465317,0.000107,1588710977
Caroline,B,2020-05-05 20:36:17.243 +0000,,-0.670074,0.465332,0.051941,1588710977
Caroline,B,2020-05-05 20:36:17.253 +0000,,-0.67804,0.454697,0.066284,1588710977
Caroline,B,2020-05-05 20:36:17.262 +0000,,-0.686859,0.464478,0.033783,1588710977
Caroline,B,2020-05-05 20:36:17.272 +0000,,-0.709656,0.517502,-0.020111,1588710977
Caroline,B,2020-05-05 20:36:17.282 +0000,,-0.748413,0.593399,-0.050629,1588710977
Caroline,B,2020-05-05 20:36:17.292 +0000,,-0.788818,0.646118,-0.024323,1588710977
Caroline,B,2020-05-05 20:36:17.302 +0000,,-0.82283,0.664261,0.019104,1588710977
Caroline,B,2020-05-05 20:36:17.312 +0000,,-0.853439,0.657669,0.04689,1588710977
Caroline,B,2020-05-05 20:36:17.322 +0000,,-0.884048,0.652939,0.065598,1588710977
Caroline,B,2020-05-05 20:36:17.332 +0000,,-0.903549,0.652542,0.097961,1588710977
Caroline,B,2020-05-05 20:36:17.342 +0000,,-0.901672,0.667435,0.115509,1588710977
Caroline,B,2020-05-05 20:36:17.352 +0000,,-0.910645,0.716003,0.121353,1588710977
Caroline,B,2020-05-05 20:36:17.362 +0000,,-0.925491,0.808563,0.08197,1588710977
Caroline,B,2020-05-05 20:36:17.372 +0000,,-0.936783,0.942001,0.019455,1588710977
Caroline,B,2020-05-05 20:36:17.382 +0000,,-0.956146,1.062332,-0.031677,1588710977
Caroline,B,2020-05-05 20:36:17.392 +0000,,-0.992706,1.122696,-0.049225,1588710977
Caroline,B,2020-05-05 20:36:17.402 +0000,,-1.017685,1.107651,-0.000031,1588710977
Caroline,B,2020-05-05 20:36:17.412 +0000,,-0.993576,1.048126,0.094299,1588710977
Caroline,B,2020-05-05 20:36:17.422 +0000,,-0.91925,0.960449,0.194077,1588710977
Caroline,B,2020-05-05 20:36:17.432 +0000,,-0.809616,0.820694,0.251389,1588710977
Caroline,B,2020-05-05 20:36:17.442 +0000,,-0.70134,0.671539,0.214157,1588710977
Caroline,B,2020-05-05 20:36:17.452 +0000,,-0.622009,0.574768,0.14917,1588710977
Caroline,B,2020-05-05 20:36:17.462 +0000,,-0.553345,0.54541,0.153519,1588710977
Caroline,B,2020-05-05 20:36:17.471 +0000,,-0.479889,0.58432,0.18985,1588710977
Caroline,B,2020-05-05 20:36:17.481 +0000,,-0.410843,0.688324,0.212967,1588710977
Caroline,B,2020-05-05 20:36:17.491 +0000,,-0.34819,0.830505,0.233032,1588710977
Caroline,B,2020-05-05 20:36:17.501 +0000,,-0.293457,0.961441,0.26564,1588710978
Caroline,B,2020-05-05 20:36:17.511 +0000,,-0.242905,1.044052,0.3013,1588710978
Caroline,B,2020-05-05 20:36:17.521 +0000,,-0.195297,1.073151,0.331711,1588710978
Caroline,B,2020-05-05 20:36:17.531 +0000,,-0.160522,1.077057,0.392334,1588710978
Caroline,B,2020-05-05 20:36:17.541 +0000,,-0.167419,1.085968,0.502686,1588710978
Caroline,B,2020-05-05 20:36:17.551 +0000,,-0.206528,1.08667,0.591309,1588710978
Caroline,B,2020-05-05 20:36:17.561 +0000,,-0.236618,1.06929,0.605087,1588710978
Caroline,B,2020-05-05 20:36:17.571 +0000,,-0.249191,1.047287,0.572128,1588710978
Caroline,B,2020-05-05 20:36:17.581 +0000,,-0.255402,1.030273,0.515793,1588710978
Caroline,B,2020-05-05 20:36:17.591 +0000,,-0.253632,1.017303,0.454834,1588710978
Caroline,B,2020-05-05 20:36:17.601 +0000,,-0.248901,1.010422,0.413055,1588710978
Caroline,B,2020-05-05 20:36:17.611 +0000,,-0.252045,1.002243,0.399597,1588710978
Caroline,B,2020-05-05 20:36:17.621 +0000,,-0.276413,0.980576,0.407501,1588710978
Caroline,B,2020-05-05 20:36:17.631 +0000,,-0.307541,0.940521,0.390427,1588710978
Caroline,B,2020-05-05 20:36:17.641 +0000,,-0.331528,0.894989,0.361542,1588710978
Caroline,B,2020-05-05 20:36:17.651 +0000,,-0.351532,0.857254,0.346451,1588710978
Caroline,B,2020-05-05 20:36:17.661 +0000,,-0.369995,0.822876,0.342911,1588710978
Caroline,B,2020-05-05 20:36:17.670 +0000,,-0.388214,0.786133,0.348846,1588710978
Caroline,B,2020-05-05 20:36:17.680 +0000,,-0.412781,0.741318,0.359161,1588710978
Caroline,B,2020-05-05 20:36:17.690 +0000,,-0.443253,0.695297,0.366104,1588710978
Caroline,B,2020-05-05 20:36:17.700 +0000,,-0.474319,0.661407,0.369797,1588710978
Caroline,B,2020-05-05 20:36:17.710 +0000,,-0.507538,0.647415,0.366684,1588710978
Caroline,B,2020-05-05 20:36:17.720 +0000,,-0.535583,0.655609,0.355316,1588710978
Caroline,B,2020-05-05 20:36:17.730 +0000,,-0.554138,0.684387,0.349808,1588710978
Caroline,B,2020-05-05 20:36:17.740 +0000,,-0.567383,0.710159,0.358078,1588710978
Caroline,B,2020-05-05 20:36:17.750 +0000,,-0.577377,0.715698,0.374176,1588710978
Caroline,B,2020-05-05 20:36:17.760 +0000,,-0.589172,0.696304,0.396545,1588710978
Caroline,B,2020-05-05 20:36:17.770 +0000,,-0.615005,0.66597,0.441467,1588710978
Caroline,B,2020-05-05 20:36:17.780 +0000,,-0.657654,0.649231,0.482773,1588710978
Caroline,B,2020-05-05 20:36:17.790 +0000,,-0.70903,0.651871,0.508743,1588710978
Caroline,B,2020-05-05 20:36:17.800 +0000,,-0.759323,0.676056,0.518112,1588710978
Caroline,B,2020-05-05 20:36:17.810 +0000,,-0.802979,0.718948,0.50415,1588710978
Caroline,B,2020-05-05 20:36:17.820 +0000,,-0.834869,0.762848,0.478012,1588710978
Caroline,B,2020-05-05 20:36:17.830 +0000,,-0.854523,0.800735,0.44426,1588710978
Caroline,B,2020-05-05 20:36:17.840 +0000,,-0.871552,0.831635,0.408554,1588710978
Caroline,B,2020-05-05 20:36:17.850 +0000,,-0.886719,0.85939,0.37175,1588710978
Caroline,B,2020-05-05 20:36:17.860 +0000,,-0.896942,0.891602,0.326233,1588710978
Caroline,B,2020-05-05 20:36:17.870 +0000,,-0.900604,0.944382,0.289688,1588710978
Caroline,B,2020-05-05 20:36:17.879 +0000,,-0.889008,1.004929,0.26944,1588710978
Caroline,B,2020-05-05 20:36:17.889 +0000,,-0.856644,1.044479,0.281494,1588710978
Caroline,B,2020-05-05 20:36:17.899 +0000,,-0.809814,1.073456,0.309113,1588710978
Caroline,B,2020-05-05 20:36:17.909 +0000,,-0.763397,1.10704,0.315826,1588710978
Caroline,B,2020-05-05 20:36:17.919 +0000,,-0.724655,1.151871,0.301254,1588710978
Caroline,B,2020-05-05 20:36:17.929 +0000,,-0.698364,1.233582,0.280624,1588710978
Caroline,B,2020-05-05 20:36:17.939 +0000,,-0.701813,1.376785,0.260437,1588710978
Caroline,B,2020-05-05 20:36:17.949 +0000,,-0.74968,1.548584,0.253616,1588710978
Caroline,B,2020-05-05 20:36:17.959 +0000,,-0.8069,1.649811,0.267227,1588710978
Caroline,B,2020-05-05 20:36:17.969 +0000,,-0.81102,1.576813,0.29129,1588710978
Caroline,B,2020-05-05 20:36:17.979 +0000,,-0.740906,1.350708,0.319504,1588710978
Caroline,B,2020-05-05 20:36:17.989 +0000,,-0.633469,1.105362,0.322571,1588710978
Caroline,B,2020-05-05 20:36:17.999 +0000,,-0.523087,0.932983,0.295624,1588710978
Caroline,B,2020-05-05 20:36:18.009 +0000,,-0.429718,0.856735,0.255966,1588710978
