User,Activity,timestamp,timeIntervalSince1970,x,y,z
Luca,D,2020-05-05 15:19:18.223 +0000,1588691958,-0.248535,-0.761642,-0.674774
Luca,D,2020-05-05 15:19:18.233 +0000,1588691958,-0.281158,-0.725433,-0.658768
Luca,D,2020-05-05 15:19:18.243 +0000,1588691958,-0.32782,-0.69397,-0.638824
Luca,D,2020-05-05 15:19:18.253 +0000,1588691958,-0.374054,-0.682999,-0.599304
Luca,D,2020-05-05 15:19:18.263 +0000,1588691958,-0.427734,-0.694366,-0.560593
Luca,D,2020-05-05 15:19:18.273 +0000,1588691958,-0.502487,-0.712906,-0.526749
Luca,D,2020-05-05 15:19:18.283 +0000,1588691958,-0.583771,-0.728256,-0.480042
Luca,D,2020-05-05 15:19:18.293 +0000,1588691958,-0.65567,-0.739609,-0.43454
Luca,D,2020-05-05 15:19:18.303 +0000,1588691958,-0.710861,-0.740585,-0.395706
Luca,D,2020-05-05 15:19:18.312 +0000,1588691958,-0.74913,-0.733566,-0.364624
Luca,D,2020-05-05 15:19:18.322 +0000,1588691958,-0.7668,-0.716339,-0.358856
Luca,D,2020-05-05 15:19:18.332 +0000,1588691958,-0.761093,-0.685577,-0.36293
Luca,D,2020-05-05 15:19:18.342 +0000,1588691958,-0.732956,-0.660355,-0.366562
Luca,D,2020-05-05 15:19:18.352 +0000,1588691958,-0.69397,-0.651871,-0.384354
Luca,D,2020-05-05 15:19:18.362 +0000,1588691958,-0.649887,-0.645981,-0.393768
Luca,D,2020-05-05 15:19:18.372 +0000,1588691958,-0.615845,-0.649292,-0.394318
Luca,D,2020-05-05 15:19:18.382 +0000,1588691958,-0.617813,-0.661545,-0.371704
Luca,D,2020-05-05 15:19:18.392 +0000,1588691958,-0.6474,-0.67395,-0.305557
Luca,D,2020-05-05 15:19:18.402 +0000,1588691958,-0.694351,-0.674026,-0.197968
Luca,D,2020-05-05 15:19:18.412 +0000,1588691958,-0.757065,-0.648743,-0.066422
Luca,D,2020-05-05 15:19:18.422 +0000,1588691958,-0.822952,-0.602676,0.050995
Luca,D,2020-05-05 15:19:18.432 +0000,1588691958,-0.885162,-0.555756,0.139679
Luca,D,2020-05-05 15:19:18.442 +0000,1588691958,-0.93869,-0.528915,0.192856
Luca,D,2020-05-05 15:19:18.452 +0000,1588691958,-0.978897,-0.53299,0.210052
Luca,D,2020-05-05 15:19:18.462 +0000,1588691958,-1.013168,-0.575699,0.175766
Luca,D,2020-05-05 15:19:18.472 +0000,1588691958,-1.037888,-0.644592,0.13414
Luca,D,2020-05-05 15:19:18.482 +0000,1588691958,-1.046021,-0.695801,0.112274
Luca,D,2020-05-05 15:19:18.492 +0000,1588691958,-1.026535,-0.706833,0.143448
Luca,D,2020-05-05 15:19:18.502 +0000,1588691959,-0.994644,-0.666977,0.208679
Luca,D,2020-05-05 15:19:18.512 +0000,1588691959,-0.937576,-0.587204,0.269684
Luca,D,2020-05-05 15:19:18.522 +0000,1588691959,-0.856949,-0.490997,0.303131
Luca,D,2020-05-05 15:19:18.532 +0000,1588691959,-0.783173,-0.397446,0.292419
Luca,D,2020-05-05 15:19:18.542 +0000,1588691959,-0.717575,-0.334152,0.279755
Luca,D,2020-05-05 15:19:18.552 +0000,1588691959,-0.659058,-0.320877,0.314468
Luca,D,2020-05-05 15:19:18.562 +0000,1588691959,-0.637222,-0.330688,0.348862
